n,impl,build_us,contains_ns_per_op,add_ns_per_op,hits,bytes
100,HashSet,121,57.50,142.50,6680,2400
100,SortedArray,299,229.30,115.70,6680,800
100,Bitmap,212,42.70,1016.20,6680,38
1000,HashSet,63,16.90,23.00,6715,24000
1000,SortedArray,737,70.80,496.00,6715,8000
1000,Bitmap,52,36.80,38.60,6715,375
10000,HashSet,600,16.40,1448.10,6657,240000
10000,SortedArray,43293,68.90,9139.00,6657,80000
10000,Bitmap,32,4.70,6.70,6657,3750
100000,HashSet,5621,9.10,11.90,6610,2400000
100000,SortedArray,4220023,94.30,87210.40,6610,800000
100000,Bitmap,258,4.70,4.40,6610,37500
